TypeSectionCode ;code ;DescriptionInEnglish ;DescriptionInRussian ;NameInEngish ;NameInRussian ;id
S ;LTHSE ;a distinctive structure exhibiting a major navigation light ;отличительная структура с основным навигационным огнем ;lighthouse ;маяк ;a546274c-1c2c-426d-afd4-e357436b8531
S ;MALL ;A large, often enclosed shopping complex containing various stores, businesses, and restaurants usually accessible by common passageways. ;Большой, часто закрытый торговый комплекс, содержащий различные магазины, предприятия и рестораны, обычно доступные через общие проходы. ;mall ;торговый центр ;085681f4-9901-438b-ba92-8fbf41def9a1
S ;MAR ;a harbor facility for small boats, yachts, etc. ;портовое сооружение для небольших лодок, яхт и т. д. ;marina ;Марина ;d22c13c2-de0c-4495-970c-a26f3433d3e7
S ;MFG ;one or more buildings where goods are manufactured, processed or fabricated ;одно или несколько зданий, в которых производятся, обрабатываются или изготавливаются товары ;factory ;фабрика ;1a8edc30-5013-4485-8a3b-e8fef5ece80f
S ;MFGB ;one or more buildings where beer is brewed ;одно или несколько зданий, где варится пиво ;brewery ;пивоварня ;fac001d5-1c91-4a0d-ae3e-c96b6ac899f8
S ;MFGC ;a building where food items are canned ;здание, где консервируются продукты ;cannery ;консервный завод ;b58101c6-20db-4e32-899d-e6dfffcaebd6
S ;MFGCU ;a facility for processing copper ore ;комплекс по переработке медной руды ;copper works ;медные работы ;c6e00c07-59ee-4b58-962a-d48551d94b99
S ;MFGLM ;a furnace in which limestone is reduced to lime ;печь, в которой известняк восстанавливается до извести ;limekiln ;печь для обжига извести ;7c48cbcd-c106-4c94-acdd-7cbb2f92afbb
S ;MFGM ;a factory where ammunition is made ;завод по производству боеприпасов ;munitions plant ;военный завод ;dd6a913d-8a5f-4f53-87a0-a5c658b94de7
S ;MFGPH ;a facility for producing fertilizer ;завод по производству удобрений ;phosphate works ;фосфатные заводы ;f9cd88e3-cf86-4bb1-abd7-2bcbd8cc9bf1
S ;MFGQ ;" " ;" " ;abandoned factory ;заброшенный завод ;357c0609-dff9-46f8-8443-97681c7c5efc
S ;MFGSG ;a facility for converting raw sugar into refined sugar ;установка для переработки сахара-сырца в рафинированный сахар ;sugar refinery ;сахарный завод ;69957ea5-2407-4eba-9e11-b61bac38a85a
S ;MKT ;a place where goods are bought and sold at regular intervals ;место, где товары покупаются и продаются через равные промежутки времени ;market ;рынок ;bd078b5e-0c7f-494c-a917-3e44e8eaa2f8
S ;ML ;a building housing machines for transforming, shaping, finishing, grinding, or extracting products ;здание, в котором размещаются машины для преобразования, формовки, отделки, измельчения или извлечения продуктов ;mill(s) ;мельница (ы) ;97ffc90d-d624-4f1a-b508-fd0d03a268a9
S ;MLM ;a facility for improving the metal content of ore by concentration ;установка для повышения содержания металлов в руде путем обогащения ;ore treatment plant ;завод по переработке руды ;ffa0c662-f170-4791-ba61-f10a7f2a3f2f
S ;MLO ;a mill where oil is extracted from olives ;мельница, где добывают масло из оливок ;olive oil mill ;мельница для оливкового масла ;ae063ac8-47cc-4352-bd7b-2aa4d5ab1d7b
S ;MLSG ;a facility where sugar cane is processed into raw sugar ;предприятие, где сахарный тростник перерабатывается в сахар-сырец ;sugar mill ;сахарный завод ;cac85ea3-7d7e-4515-894c-c643822a6a8c
S ;MLSGQ ;a sugar mill no longer used as a sugar mill ;сахарный завод больше не используется как сахарный завод ;former sugar mill ;бывший сахарный завод ;c39a52a6-572f-4c62-818a-7c93bd682d63
S ;MLSW ;a mill where logs or lumber are sawn to specified shapes and sizes ;мельница, на которой бревна или пиломатериалы распиливаются до заданных форм и размеров ;sawmill ;лесопилка ;35818532-6e13-4d51-a590-18ec91e26996
S ;MLWND ;a mill or water pump powered by wind ;мельница или водяной насос, работающий от ветра ;windmill ;ветряная мельница ;b1729839-4138-4a37-bf85-9249c69d6a93
S ;MLWTR ;a mill powered by running water ;мельница, работающая от проточной воды ;water mill ;водяная мельница ;38c48c57-b0cc-4afe-80e6-c7846271f8e0
S ;MN ;a site where mineral ores are extracted from the ground by excavating surface pits and subterranean passages ;место, где минеральные руды извлекаются из земли путем выемки карьеров и подземных ходов ;mine(s) ;шахта (ы) ;6cfe622c-7839-42fb-8385-4d0705e6ce2b
S ;MNAU ;a mine where gold ore, or alluvial gold is extracted ;шахта, где добывают золотую руду или россыпное золото ;gold mine(s) ;золотой рудник (ы) ;db85c888-fc8e-4840-ba5e-f55e6d54d33a
S ;MNC ;a mine where coal is extracted ;шахта, где добывают уголь ;coal mine(s) ;угольные шахты) ;258aa86e-c162-4e11-b9a6-612efde7695f
S ;MNCR ;a mine where chrome ore is extracted ;шахта, где добывают хромовую руду ;chrome mine(s) ;хромовая шахта (ы) ;58feaec6-38a7-4afa-be43-7e7d608ecb0a
S ;MNCU ;a mine where copper ore is extracted ;шахта, где добывают медную руду ;copper mine(s) ;медный рудник (ы) ;09b53b3d-47f8-4af1-9b02-d28cb01c39be
S ;MNFE ;a mine where iron ore is extracted ;шахта, где добывают железную руду ;iron mine(s) ;железная шахта (ы) ;4bad7d3c-e9a5-45d8-8070-bf176c282ef1
S ;MNMT ;a commemorative structure or statue ;памятное сооружение или статуя ;monument ;памятник ;1c70ad5f-7b7c-4283-912e-0c4b97b5379c
S ;MNN ;a mine from which salt is extracted ;шахта, из которой добывают соль ;salt mine(s) ;соляная шахта (ы) ;454901d6-c280-48fe-be38-9ef8f3b0cb22
S ;MNQ ;" " ;" " ;abandoned mine ;заброшенная шахта ;d1bbaae1-bd41-40da-b462-00f1a62bda04
S ;MNQR ;a surface mine where building stone or gravel and sand, etc. are extracted ;поверхностный рудник, где добывают строительный камень или гравий, песок и т. д. ;quarry(-ies) ;карьер(-ы) ;65d7e9c7-71ee-419e-9320-73aac7530e59
S ;MOLE ;a massive structure of masonry or large stones serving as a pier or breakwater ;массивная конструкция из каменной кладки или крупных камней, служащая пирсом или волнорезом ;mole ;крот ;408b8f8e-5657-41ac-be47-039172d71616
S ;MSQE ;a building for public Islamic worship ;здание для общественного исламского богослужения ;mosque ;мечеть ;3aed86b4-fa5f-4e50-9424-22314e2f4aef
S ;MSSN ;a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion ;место, характеризующееся жильем, школой, церковью, больницей и другими объектами, находящимися в ведении религиозной группы с целью предоставления благотворительных услуг и пропаганды религии ;mission ;миссия ;713bc146-2775-4e80-b187-4dedcf606eb6
S ;MSSNQ ;" " ;" " ;abandoned mission ;заброшенная миссия ;e964f617-dade-4f57-ab85-584ac9f658eb
S ;MSTY ;a building and grounds where a community of monks lives in seclusion ;здание и территория, где община монахов живет в уединении ;monastery ;монастырь ;cd779063-55c7-441e-8797-b1db69add116
S ;MTRO ;metro station (Underground, Tube, or Metro) ;станция метро (метро, ​​метро или метро) ;metro station ;станция метро ;f4499fc8-ff95-49a8-9d00-08024340c575
S ;MUS ;a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited ;здание, в котором хранятся и экспонируются предметы, представляющие постоянный интерес в одном или нескольких искусствах и науках. ;museum ;музей ;1014eb27-c267-40fe-bebd-4f3a23bd0a34
S ;NOV ;a religious house or school where novices are trained ;религиозный дом или школа, где обучаются новички ;novitiate ;послушник ;16a68003-0565-4249-ac74-db22dedbab22
S ;NSY ;a place where plants are propagated for transplanting or grafting ;место, где размножаются растения для пересадки или прививки ;nursery(-ies) ;питомник(-и) ;07d29411-654c-46c6-b1c9-4cf081e0d7e1
S ;OBPT ;a wildlife or scenic observation point ;дикая природа или живописная смотровая площадка ;observation point ;смотровая площадка ;428baf72-4893-4527-be06-3aa096127371
S ;OBS ;a facility equipped for observation of atmospheric or space phenomena ;установка, оборудованная для наблюдения за атмосферными или космическими явлениями ;observatory ;обсерватория ;7f7be773-5783-49a6-8ba1-04ac69ee17b8
S ;OBSR ;a facility equipped with an array of antennae for receiving radio waves from space ;установка, оснащенная массивом антенн для приема радиоволн из космоса ;radio observatory ;радио обсерватория ;5331af11-e472-4117-b05f-3d659b8c5745
S ;OILJ ;a section of an oil pipeline where two or more pipes join together ;участок нефтепровода, на котором соединяются две или более труб ;oil pipeline junction ;узел нефтепровода ;e8e9010e-e724-41d0-831e-d9e6ecfbdefd
S ;OILQ ;" " ;" " ;abandoned oil well ;заброшенная нефтяная скважина ;0755ee59-5460-4a08-905e-3d07c281fd15
S ;OILR ;a facility for converting crude oil into refined petroleum products ;установка по переработке сырой нефти в продукты нефтепереработки ;oil refinery ;нефтеперегонный завод ;5a92e168-bf48-4353-aad3-59762d669559
S ;OILT ;a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored ;участок земли, занятый большими цилиндрическими металлическими резервуарами, в которых хранится нефть или жидкие нефтепродукты. ;tank farm ;нефтебаза ;94547a0f-e1e5-4116-a0d8-ce9ed623008f
S ;OILW ;a well from which oil may be pumped ;скважина, из которой можно качать нефть ;oil well ;нефтяная скважина ;8a9676a5-4a6c-455e-8423-df89be865132
S ;OPRA ;A theater designed chiefly for the performance of operas. ;Театр, предназначенный в основном для исполнения опер. ;opera house ;оперный театр ;17aa4c5e-a2ce-4224-bc44-26ad85a8365d
S ;PAL ;a large stately house, often a royal or presidential residence ;большой величественный дом, часто королевская или президентская резиденция ;palace ;дворец ;ca11a3bb-9066-43f8-a29b-5618d57475d2
S ;PGDA ;a tower-like storied structure, usually a Buddhist shrine ;многоэтажное башнеобразное сооружение, обычно буддистское святилище ;pagoda ;пагода ;91b89aab-4b13-4769-8c31-0f079582dd5e
S ;PIER ;a structure built out into navigable water on piles providing berthing for ships and recreation ;сооружение, встроенное в судоходную воду на сваях, обеспечивающее стоянку судов и места отдыха ;pier ;пирс ;0e796698-0ff8-4fe3-b6eb-6efaed3e6e36
S ;PKLT ;an area used for parking vehicles ;площадь, используемая для парковки транспортных средств ;parking lot ;автостоянка ;f9604e25-8d21-4722-a42f-32699c2163bc
S ;PMPO ;a facility for pumping oil through a pipeline ;установка для перекачки нефти по трубопроводу ;oil pumping station ;нефтеперекачивающая станция ;1cb69b45-8a46-40ae-bfc9-1019fd730382
S ;PMPW ;a facility for pumping water from a major well or through a pipeline ;сооружение для перекачки воды из крупной скважины или по трубопроводу ;water pumping station ;насосная станция ;0e4d205e-80be-4f7e-97fd-5fabde058a68
S ;PO ;a public building in which mail is received, sorted and distributed ;общественное здание, в котором почта принимается, сортируется и распределяется ;post office ;почтовое отделение ;fe7f6456-c3b3-4f8c-bf12-f5397264ef63
S ;PP ;a building in which police are stationed ;здание, в котором находится полиция ;police post ;полицейский пост ;628aa66f-d431-4eba-b7a6-3af9ea11ed9b
S ;PPQ ;" " ;" " ;abandoned police post ;заброшенный полицейский пост ;6a2088e3-8ad0-4243-9a6a-c39f598c38f3
S ;PRKGT ;a controlled access to a park ;контролируемый доступ в парк ;park gate ;ворота в парк ;692551b4-8dfa-4fd9-8f9d-7ebf3e95ecda
S ;PRKHQ ;a park administrative facility ;административный объект парка ;park headquarters ;штаб-квартира парка ;937ceb8c-4c0e-4bff-a3f3-cc140c28ec9f
S ;PRN ;a facility for confining prisoners ;помещение для содержания заключенных ;prison ;тюрьма ;646107be-636f-4d5a-86df-b350a0bfc539
S ;PRNJ ;a facility for confining, training, and reforming young law offenders ;учреждение для заключения, обучения и исправления молодых правонарушителей ;reformatory ;исправительное учреждение ;b11572d9-60ae-4b09-847b-a71f35bf8a23
S ;PRNQ ;" " ;" " ;abandoned prison ;заброшенная тюрьма ;81cbbd98-c2ab-463b-9a34-ef130007de6a
S ;PS ;a facility for generating electric power ;установка для выработки электроэнергии ;power station ;электростанция ;0a781431-94f2-4e0e-b214-8e9faa6e15db
S ;PSH ;a building where electricity is generated from water power ;здание, в котором электричество вырабатывается из энергии воды ;hydroelectric power station ;гидроэлектростанция ;c45dd145-fce4-4f6b-8763-8cf5bbbea2fa
S ;PSN ;nuclear power station ;АЭС ;nuclear power station ;АЭС ;546f79d4-73bc-4287-86c4-b9dd417426c3
S ;PSTB ;a post or station at an international boundary for the regulation of movement of people and goods ;пост или станция на международной границе для регулирования передвижения людей и товаров ;border post ;пограничный пост ;34e111fb-ddb3-42a9-ba8d-f8aceffc652d
S ;PSTC ;a building at an international boundary where customs and duties are paid on goods ;здание на международной границе, где уплачиваются таможенные сборы и пошлины за товары ;customs post ;таможенный пост ;a347d4ea-5537-49e0-82cd-c62d241b6414
S ;PSTP ;a post from which patrols are sent out ;пост, откуда высылаются патрули ;patrol post ;патрульный пост ;06321fb2-1ea2-43a7-b81a-fefb724a5966
S ;PYR ;an ancient massive structure of square ground plan with four triangular faces meeting at a point and used for enclosing tombs ;древнее массивное сооружение квадратного плана с четырьмя треугольными гранями, сходящимися в одной точке и использовавшееся для ограждения гробниц ;pyramid ;пирамида ;e89699e3-328e-483b-8d26-00f6406950cd
S ;PYRS ;ancient massive structures of square ground plan with four triangular faces meeting at a point and used for enclosing tombs ;древние массивные сооружения квадратного плана с четырьмя треугольными гранями, сходящимися в одной точке и использовавшиеся для ограждения гробниц ;pyramids ;пирамиды ;1dffff6c-2dbf-4601-8d0b-3b7fb321fab3
S ;QUAY ;a structure of solid construction along a shore or bank which provides berthing for ships and which generally provides cargo handling facilities ;сооружение прочной конструкции вдоль берега или берега, обеспечивающее причал для судов и обычно обеспечивающее погрузочно-разгрузочные работы ;quay ;набережная ;7a80306d-fcc7-487f-a06e-3b9bcfb4982b
S ;RDCR ;a road junction formed around a central circle about which traffic moves in one direction only ;дорожная развязка, образованная вокруг центрального круга, движение по которому движется только в одном направлении ;traffic circle ;кольцевая транспортная развязка ;b8ef5bf9-910b-4d0d-a901-147dfdf35220
S ;RDIN ;a junction of two or more highways by a system of separate levels that permit traffic to pass from one to another without the crossing of traffic streams ;соединение двух или более автомагистралей системой отдельных уровней, позволяющих транспортному движению переходить с одной на другую без пересечения транспортных потоков ;intersection ;перекресток ;1978f7c3-d3e4-428f-858d-37a88dc449c7
S ;RECG ;a recreation field where golf is played ;поле для отдыха, где играют в гольф ;golf course ;поле для гольфа ;50eb84ac-d485-424a-8fa8-12d2c274ad49
S ;RECR ;a track where races are held ;трасса, на которой проводятся гонки ;racetrack ;ипподром ;11949ba5-8230-4352-b563-7885f31142c5
S ;REST ;A place where meals are served to the public ;Место, где подают еду для публики ;restaurant ;ресторан ;d8a5fa89-8242-408f-b51c-beedfd834e87
S ;RET ;a building where goods and/or services are offered for sale ;здание, в котором продаются товары и/или услуги ;store ;магазин ;62953403-414b-41a3-afbd-1123d30e0948
S ;RHSE ;a structure maintained for the rest and shelter of travelers ;сооружение, предназначенное для отдыха и укрытия путешественников ;resthouse ;дом отдыха ;e470adcc-8e7c-4a4d-b332-3134f74f69d5
S ;RKRY ;a breeding place of a colony of birds or seals ;место размножения колонии птиц или тюленей ;rookery ;лежбище ;a8f40432-3444-4f5c-bbad-d18719a5ea9f
S ;RLG ;an ancient site of significant religious importance ;древнее место, имеющее большое религиозное значение ;religious site ;религиозное место ;8a45c948-a29d-4d97-8ae2-c987fd2dd9b7
S ;RLGR ;a place of temporary seclusion, especially for religious groups ;место временного уединения, особенно для религиозных групп ;retreat ;отступление ;9e3f974b-9342-46c1-a125-b13d34e82389
S ;RNCH ;a large farm specializing in extensive grazing of livestock ;крупная ферма, специализирующаяся на экстенсивном выпасе скота ;ranch(es) ;ранчо ;df3fa8bf-dfce-4fe7-b108-22017335049e
S ;RSD ;a short track parallel to and joining the main track ;короткий путь, параллельный основному пути и соединяющийся с ним ;railroad siding ;железнодорожный тупик ;ba91ad33-1ed9-499c-a79d-1c53fc009b4a
S ;RSGNL ;a signal at the entrance of a particular section of track governing the movement of trains ;сигнал при въезде на определенный участок пути, регулирующий движение поездов ;railroad signal ;железнодорожный сигнал ;164b7663-aed2-4773-8c9e-31fecb7f6582
S ;RSRT ;a specialized facility for vacation, health, or participation sports activities ;специализированное учреждение для отдыха, оздоровления или участия в спортивных мероприятиях ;resort ;прибегнуть ;f732bc91-9217-4405-b807-79a0c382bcc0
S ;RSTN ;a facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight ;сооружение, включающее билетную кассу, платформы и т. д. для погрузки и разгрузки пассажиров поездов и грузов ;railroad station ;железнодорожная станция ;3efd4175-ac03-491e-8497-f41dc91247c1
S ;RSTNQ ;" " ;" " ;abandoned railroad station ;заброшенный вокзал ;1cc61d48-bbcf-45a3-af2c-8d7132acdd14
S ;RSTP ;a place lacking station facilities where trains stop to pick up and unload passengers and freight ;место, где отсутствуют станционные сооружения, где поезда останавливаются для посадки и выгрузки пассажиров и грузов. ;railroad stop ;железнодорожная остановка ;f2d0db6b-bd93-4217-95f7-f1601458ea21
S ;RSTPQ ;" " ;" " ;abandoned railroad stop ;заброшенная железнодорожная станция ;adfd85fd-08fa-4590-80d2-b7a37a26f48b
S ;RUIN ;a destroyed or decayed structure which is no longer functional ;разрушенная или пришедшая в упадок структура, которая больше не функционирует ;ruin(s) ;руины ;8030cbb0-2206-455d-91a9-7ccfd52a797a
S ;SCH ;building(s) where instruction in one or more branches of knowledge takes place ;здание(я), где проводится обучение одной или нескольким отраслям знаний ;school ;школа ;7d809b97-2176-405f-982b-f2a3e85b15cc
S ;SCHA ;a school with a curriculum focused on agriculture ;школа с учебной программой, ориентированной на сельское хозяйство ;agricultural school ;сельскохозяйственная школа ;9a6ef3b4-be79-4bc0-9335-18335e5c3b6a
S ;SCHC ;the grounds and buildings of an institution of higher learning ;территория и здания высшего учебного заведения ;college ;колледж ;91efbe99-1798-4be7-8e72-57e4351ecd8e
S ;SCHL ;Language Schools & Institutions ;Языковые школы и институты ;language school ;Языковая школа ;76780f67-3641-40b3-bfc8-8ee798dfdb6f
S ;SCHM ;a school at which military science forms the core of the curriculum ;школа, в которой военная наука составляет основу учебной программы ;military school ;военная школа ;6f2fe0ce-fbd8-4528-bc0b-a5d3b47b08b4
S ;SCHN ;a school at which maritime sciences form the core of the curriculum ;школа, в которой морские науки составляют основу учебной программы ;maritime school ;морская школа ;11ba9658-d89e-416f-a992-12fa97ebd14b
S ;SCHT ;post-secondary school with a specifically technical or vocational curriculum ;высшее учебное заведение со специально технической или профессиональной учебной программой ;technical school ;техникум ;87ed41a2-22fb-4c1e-9c4f-3144b3cfda60
S ;SECP ;state exam preparation centres ;центры подготовки к государственным экзаменам ;State Exam Prep Centre ;Центр подготовки к государственным экзаменам ;8f788323-5493-4dd5-a7b4-6d164f8b5c3c
S ;SHPF ;a fence or wall enclosure for sheep and other small herd animals ;забор или ограждение стены для овец и других мелких стадных животных ;sheepfold ;овчарня ;44b4d265-669d-4444-828d-30eae5670ad4
S ;SHRN ;a structure or place memorializing a person or religious concept ;сооружение или место, увековечивающее память о человеке или религиозной концепции ;shrine ;святыня ;f4fb87ef-e259-4204-82b5-ef75cc4897ed
S ;SHSE ;a building for storing goods, especially provisions ;здание для хранения товаров, особенно провизии ;storehouse ;склад ;788ed902-2c9d-4044-8f09-20cbdadfe0e3
S ;SLCE ;a conduit or passage for carrying off surplus water from a waterbody, usually regulated by means of a sluice gate ;канал или проход для отвода избыточной воды из водоема, обычно регулируемый с помощью шлюзового затвора ;sluice ;шлюз ;04b5e340-5358-4fc0-9f12-f34e1dcdfce4
S ;SNTR ;a facility where victims of physical or mental disorders are treated ;учреждение, где лечат жертв физических или психических расстройств ;sanatorium ;санаторий ;cf0bd95e-49f5-4669-8d0c-ed2b42e0830d
S ;SPA ;a resort area usually developed around a medicinal spring ;курортная зона, обычно развивающаяся вокруг лечебного источника ;spa ;спа ;c9ba5764-7e69-4b43-8012-4909aa7ce2b8
S ;SPLY ;a passage or outlet through which surplus water flows over, around or through a dam ;проход или выход, через который избыточная вода перетекает через плотину, вокруг нее или через нее ;spillway ;водосброс ;efea9356-b24c-4db4-930b-4ea0a1ce8c95
S ;SQR ;a broad, open, public area near the center of a town or city ;широкая, открытая, общественная зона недалеко от центра города или города ;square ;квадрат ;3b34670d-7f06-4121-b107-c27cb2fc7b7b
S ;STBL ;a building for the shelter and feeding of farm animals, especially horses ;сооружение для укрытия и кормления сельскохозяйственных животных, особенно лошадей ;stable ;стабильный ;0b9d89c0-3ffc-4a2b-9381-2d961ddf9dde
S ;STDM ;a structure with an enclosure for athletic games with tiers of seats for spectators ;сооружение с ограждением для спортивных игр с ярусами сидений для зрителей ;stadium ;стадион ;e753c91e-1b0f-4700-9ad1-5691fc72de6e
S ;STNB ;a scientific facility used as a base from which research is carried out or monitored ;научное учреждение, используемое в качестве базы, на которой проводятся или контролируются исследования ;scientific research base ;научно-исследовательская база ;832b8778-2da4-4d75-9972-58de21385c96
S ;STNC ;a facility from which the coast is guarded by armed vessels ;объект, с которого берег охраняют вооруженные суда ;coast guard station ;станция береговой охраны ;9c302697-2646-4e41-948e-6515e9a826e8
S ;STNE ;a facility for carrying out experiments ;помещение для проведения экспериментов ;experiment station ;экспериментальная станция ;64caf5bb-fd81-4c49-ab55-4c61ab5060c5
S ;STNF ;a collection of buildings and facilities for carrying out forest management ;совокупность зданий и сооружений для осуществления лесоустройства ;forest station ;лесная станция ;d1b85670-fd6f-4755-90d0-c7d0036dfcfb
S ;STNI ;a station at which vehicles, goods, and people are inspected ;станция, на которой досматриваются транспортные средства, товары и люди ;inspection station ;инспекционная станция ;83dd7052-2a90-4999-99cf-9e41b0f3e793
S ;STNM ;a station at which weather elements are recorded ;станция, на которой регистрируются элементы погоды ;meteorological station ;метеостанция ;65a7d990-3123-468d-bd39-8de93224cdd3
S ;STNR ;a facility for producing and transmitting information by radio waves ;устройство для производства и передачи информации с помощью радиоволн ;radio station ;радио станция ;a0a063b5-6a95-4610-b116-587a472ad6fb
S ;STNS ;a facility for tracking and communicating with orbiting satellites ;средство для отслеживания и связи с орбитальными спутниками ;satellite station ;спутниковая станция ;82428aef-13e9-4b8b-92f8-9610278310fb
S ;STNW ;a facility for butchering whales and processing train oil ;предприятие по разделке китов и переработке железнодорожного масла ;whaling station ;китобойная станция ;2a44ad30-fb66-49d4-acc1-afcfbb90690b
S ;STPS ;stones or slabs placed for ease in ascending or descending a steep slope ;камни или плиты, уложенные для облегчения подъема или спуска по крутому склону ;steps ;шаги ;f02ecb30-7564-4b99-877d-6e0da31411df
S ;SWT ;facility for the processing of sewage and/or wastewater ;установка для обработки сточных вод и/или сточных вод ;sewage treatment plant ;очистные канализационные сооружения ;fb2aa191-0a08-4cec-8c96-0e914b1a61c5
S ;SYG ;a place for Jewish worship and religious instruction ;место для еврейского поклонения и религиозного обучения ;synagogue ;синагога ;b92b04ec-8ae9-471d-a064-0b71a0a9b4de
S ;THTR ;A building, room, or outdoor structure for the presentation of plays, films, or other dramatic performances ;Здание, комната или открытая конструкция для представления пьес, фильмов или других драматических представлений. ;theater ;театр ;8bbd8fac-03ca-4691-a578-963731191064
S ;TMB ;a structure for interring bodies ;сооружение для погребения тел ;tomb(s) ;могила (ы) ;273abaa0-4e8f-4cb4-b26b-8569e43ff01d
S ;TMPL ;an edifice dedicated to religious worship ;здание, посвященное религиозному культу ;temple(s) ;храмы) ;4e3d6982-bd42-4d63-a7a1-8b77eca167a7
S ;TNKD ;a small artificial pond used for immersing cattle in chemically treated water for disease control ;небольшой искусственный пруд, используемый для погружения крупного рогатого скота в химически обработанную воду для борьбы с болезнями. ;cattle dipping tank ;бак для крупного рогатого скота ;120ff8dd-ec88-4c67-ae21-2c57a15089fa
S ;TOLL ;highway toll collection station ;пункт сбора дорожных сборов ;toll gate/barrier ;платные ворота/шлагбаум ;3ca0509f-6f0e-4131-81b3-dcbe7f9c1a62
S ;TOWR ;a high conspicuous structure, typically much higher than its diameter ;высокая заметная структура, обычно намного превышающая ее диаметр ;tower ;башня ;e1b2ffd6-792d-4ce7-afaf-8882e716cd64
S ;TRAM ;rail vehicle along urban streets (also known as streetcar or trolley) ;рельсовое транспортное средство по городским улицам (также известное как трамвай или троллейбус) ;tram ;трамвай ;c7ebc273-d978-4dba-b3a6-9d1da5e185be
S ;TRANT ;facilities for the handling of vehicular freight and passengers ;средства для обработки автомобильных грузов и пассажиров ;transit terminal ;транзитный терминал ;b3f682f3-184c-42da-b66e-4d82a216e4e7
S ;TRIG ;a point on the earth whose position has been determined by triangulation ;точка на земле, положение которой определено с помощью триангуляции ;triangulation station ;триангуляционная станция ;7167d9ce-a2bd-4711-aeaf-4675c81adc40
S ;TRMO ;a tank farm or loading facility at the end of an oil pipeline ;резервуарный парк или наливное сооружение в конце нефтепровода ;oil pipeline terminal ;терминал нефтепровода ;feb148ac-71c9-490a-8504-e3ceef1abdeb
S ;TWO ;Temporary Work Offices ;Временные рабочие офисы ;temp work office ;офис временной работы ;d38780fc-88ce-4e78-bd92-8a266fe72245
S ;UNIP ;University Preparation Schools & Institutions ;Школы и институты подготовки к университету ;university prep school ;подготовительная школа к университету ;0882d7be-fcf2-457e-857a-134d6dde7c6b
S ;UNIV ;An institution for higher learning with teaching and research facilities constituting a graduate school and professional schools that award master's degrees and doctorates and an undergraduate division that awards bachelor's degrees. ;Высшее учебное заведение с учебными и исследовательскими помещениями, состоящее из аспирантуры и профессиональных школ, в которых присуждаются степени магистра и доктора, а также отделения бакалавриата, в котором присуждаются степени бакалавра. ;university ;Университет ;8d3eb499-cb80-474f-b0c9-019d3d00e57a
S ;USGE ;a facility operated by the United States Government in Panama ;объект, управляемый правительством США в Панаме ;united states government establishment ;правительственное учреждение Соединенных Штатов ;5de2232e-f566-4599-87f4-15103606fc63
S ;VETF ;a building or camp at which veterinary services are available ;здание или лагерь, в котором доступны ветеринарные услуги ;veterinary facility ;ветеринарное учреждение ;f572e268-b211-44cd-ac4b-2eb1acbe3184
S ;WALL ;a thick masonry structure, usually enclosing a field or building, or forming the side of a structure ;толстое каменное сооружение, обычно ограждающее поле или здание или образующее боковую часть строения ;wall ;стена ;e5104f21-11a3-4dfb-ba69-dc8d2323845d
S ;WALLA ;the remains of a linear defensive stone structure ;остатки линейного оборонительного каменного сооружения ;ancient wall ;древняя стена ;92e6b001-c0ce-45f9-97c8-4d9679166778
S ;WEIR ;a small dam in a stream, designed to raise the water level or to divert stream flow through a desired channel ;небольшая плотина на реке, предназначенная для поднятия уровня воды или для отвода потока через желаемое русло ;weir(s) ;плотина (ы) ;f044230c-272f-47af-ab08-47b387e33fe2
S ;WHRF ;a structure of open rather than solid construction along a shore or a bank which provides berthing for ships and cargo-handling facilities ;сооружение открытой, а не сплошной конструкции вдоль берега или берега, обеспечивающее причал для судов и погрузочно-разгрузочных сооружений ;wharf(-ves) ;пристань (-вес) ;911d490f-148a-4984-93c1-1ba20fc9308c
S ;WRCK ;the site of the remains of a wrecked vessel ;место крушения корабля ;wreck ;крушение ;0576727d-7902-4339-a839-aafc38f45a03
S ;WTRW ;a facility for supplying potable water through a water source and a system of pumps and filtration beds ;сооружение для подачи питьевой воды через источник воды и систему насосов и фильтровальных площадок ;waterworks ;гидротехнические сооружения ;f9f2be98-3bea-4bff-b6cd-16b41bc6fbbc
S ;ZNF ;an area, usually a section of a port, where goods may be received and shipped free of customs duty and of most customs regulations ;район, обычно часть порта, где товары могут быть получены и отправлены без уплаты таможенных пошлин и большинства таможенных правил. ;free trade zone ;зона свободной торговли ;06d32b27-6312-4532-8ddf-ae3fe8b9499d
S ;ZOO ;a zoological garden or park where wild animals are kept for exhibition ;зоологический сад или парк, где диких животных содержат для выставок ;zoo ;зоопарк ;b8cfd614-2787-4660-aae0-32e5c547f01d
T ;ASPH ;a small basin containing naturally occurring asphalt ;небольшой бассейн с естественным асфальтом ;asphalt lake ;асфальтовое озеро ;9d368b6a-0ca0-49ef-805a-b2bad6b5a7df
T ;ATOL ;a ring-shaped coral reef which has closely spaced islands on it encircling a lagoon ;кольцеобразный коралловый риф с близко расположенными островами, окружающими лагуну ;atoll(s) ;атолл (ы) ;39b1665b-85a6-4615-be73-a18fb8e4d0e3
